"gene","value"
"ESM1",4.84540940010563
"MTHFD1L",2.01575974589016
"CLSPN",3.23497506704118
"KIF14",3.51041890341149
"CST1",7.86705139371426
"ACAN",4.01156764900999
"NFE2L3",2.5489624907445
"KIF18B",3.47554975033586
"INHBA",3.67670744998968
"KIF23",2.68118663917826
"GABRD",3.4294643483736
"ASPM",3.13639238412957
"COL10A1",6.53534185430793
"ECT2",2.51733235697863
"FAM72A",3.28641316366278
"CENPF",2.88115450798647
"CLEC3B",-3.47617731267923
"HELLS",2.50562240356365
"STIL",2.56917478170258
"MKI67",2.93066875040009
"TPX2",2.97824617260501
"IQGAP3",2.98653541528906
"HOXC9",5.25347872286263
"BUB1",3.07286678769562
"CEP55",2.86155257231076
"BUB1B",2.9302766567004
"NUF2",2.88521505274359
"MTBP",2.15575174272414
"MIR4435-2HG",1.99416321589787
"HJURP",3.05889431935612
"ARHGAP11A",2.2741293671066
"BRCA2",2.37032080251059
"HMMR",2.99586435615799
"NEK2",3.00931204781577
"E2F3",1.34934144980486
"KIF18A",2.66251106480997
"DTL",2.43369976950006
"FOXD2-AS1",2.52392745975691
"KIF20A",2.79230561026967
"ANLN",2.3114613106818
"RUNX1",1.73845005262891
"EXO1",2.865245723254
"KIF4A",2.88278788091955
"MAL",-6.18946479516951
"TROAP",3.05486632348279
"KIAA1524",1.88685593772493
"PRR5-ARHGAP8",3.27315281186289
"FANCI",2.11621242783189
"CDK1",2.57687475133635
"SDS",3.42274677228827
"DLGAP5",2.90039383802794
"NDC80",2.36982260032147
"WNT2",4.68964661974843
"CTHRC1",3.28895554835877
"SERTM1",-4.79409808972073
"SOX9",2.63309492625251
"KIF11",2.15959246907699
"CDCA2",3.01441352342408
"NCAPG",2.87537097017936
"ENC1",2.17878726786351
"TOP2A",2.93099195445717
"MCM10",3.00802853544726
"MELK",2.81795987614567
"ATAD2",1.96172560050209
"SKA3",2.65299481084904
"CITED2",-1.73075973794854
"FOXM1",2.62786180458953
"GTSE1",2.59460535592495
"GPX3",-2.94109493507307
"KRT24",-5.34108530621861
"E2F7",3.02808270831157
"APOC1",3.76575734965048
"MYBL2",3.28963697784811
"ZWILCH",1.50463821765254
"ATAD5",1.88807836868049
"RAD51AP1",2.1941950755815
"TTK",3.02666988808748
"POLQ",2.8222284256808
"TRIP13",2.42048931380063
"KIF15",2.52880187366495
