"gene","value"
"KLHDC8A",5.36589238884687
"GABRB2",6.93926734018395
"SLC6A15",-5.09113791210851
"P4HA2",1.96179641805331
"BBC3",2.23641174990955
"HAPLN1",5.65028448353764
"PLXND1",1.57101011752285
"METTL7B",4.05047588969535
"PTP4A3",2.0415334870559
"SERINC2",1.87312158197658
"ETV4",3.76080717012913
"SRCIN1",3.52128229359186
"SHROOM4",2.60444517704736
"LRP4",4.15710818737652
"PLEKHN1",4.11706105469684
"FAM84A",2.595674809423
"ABR",1.52411721915424
"GABRD",3.5261750853658
"TFF2",-5.1172698702521
"CDHR3",-3.00771241658732
"GRHL3",5.39150916633919
"LYVE1",-3.45676376579146
"PHLDA3",1.96593346279648
"COL13A1",3.84283023493911
"PTCHD4",3.32500403482369
"NPC2",2.40312456330996
"RPSAP52",4.6533494492615
"GALE",2.94770890819468
"UNC5B",2.09590928731392
"KCNIP4",-2.62548664020758
"LIPH",6.48478419258255
"TCEAL5",-2.08639906207229
"ENTPD1",2.24244733446024
"TAPT1",-0.734369509398535
"CDKN2B",2.69818864101485
"CCND1",1.76427478896182
"OIT3",3.82406664888973
"PLA2R1",-3.5123611795608
"PAPSS2",-2.85132119332045
"MMRN1",-3.8110564742103
"SPATS2",0.74925530503134
"JAG2",1.49028796256455
"GOLT1A",3.89618894917687
"IPCEF1",-4.02774604282768
"STAB2",-5.17475874260851
"BMP1",1.44259696551295
"KCNA1",-5.75776586850033
"MPZL2",2.25675413195545
"RASSF9",-2.94136498641053
"CDR2",-0.90037664741844
"FAXC",2.98958065785548
"ADRA1B",2.44017490263234
"ETV5",1.76438217796466
"HMGA2",5.95794839236472
"ELFN1",2.06515798840141
"RPS6KA5",-1.96908725652836
"CBX2",1.51356687358048
"E2F1",2.2574577666291
"DDB2",1.48700518859015
"ABCA9",-3.72907852714102
"REN",5.06135348783487
"PRR15",5.74908465682282
"MTHFD1L",1.33782359060074
"TMC6",2.47645388257656
"FOLH1",2.91633377540224
"FJX1",1.97813133402125
"TNFRSF10B",1.11916804386553
"TNFRSF10C",2.38905518770301
"MANEAL",1.73964510940471
"PID1",-2.98431933921383
"LAYN",-2.14828050902552
"SEMA3F",1.46421764470272
"BID",2.1747217612238
"ECE1",1.51581254192196
"KIAA2013",0.835411646471945
"RYR2",-4.49013164414191
"KIAA1211L",1.08824207481908
"ULBP2",2.73290434207897
"PERM1",3.33837000187093
"FHOD1",1.37850543207955
"TRIM47",1.58007512808237
"GDF15",4.12847066284739
"LIMK1",1.09493665249529
"TBC1D4",-1.98242855072043
"CAMK2N2",3.24971148399728
"RELN",-5.7173443817683
"GALNT7",2.05742078877959
"TMEM41A",0.984665056138672
"HDAC4",-1.19293939684347
"TPPP",-2.44422618427006
"PBX4",-2.49681555239927
"TGFB1",1.68207295858518
"EPS8",1.84829993666889
"TMEM8A",0.950144576473872
"MAP3K6",1.43021041141124
"PIK3R2",0.796239037904562
"GPC3",-4.42279539258108
"PPP5C",0.580156808521157
"TGFA",2.32500233214102
"SYNDIG1L",3.73598158589969
"SEMA6B",1.89423033550963
"NOL4L",0.919442057592257
"UBTD1",1.16585372586853
"CDH3",3.87584459062688
"TAX1BP3",1.10155636227168
"GPRIN1",2.42774281467604
"LRIG1",-1.54664982298082
"HEY2",2.10248462867604
"CSGALNACT1",-2.14413134475737
"MATN2",-2.74067777351685
"DLG2",-3.48421457256125
"PPP1R9B",0.786350542948024
"H2AFY",0.61245391938679
"KNOP1",0.846572601813762
"HCN4",4.569563806862
"NOX4",2.63695614992741
"NPDC1",1.78085932085132
"SCN1B",2.30598756172051
"KCNQ3",4.20109580077312
"LMOD1",-2.62833253070483
"CNTN5",-4.67438814752594
"SAMD1",1.03684307828469
"HECTD3",0.60424498052584
"C11orf74",-1.94882299149923
"DLGAP4",0.82455007777118
"KCTD16",-3.77819127429378
"GLS2",1.82676288289989
"TUSC3",3.00042893142994
"CDH24",1.32528930594113
"PLSCR4",-1.56423146894364
"TFF3",-6.03248648725959
"MYEF2",1.53922254662618
"NACC1",0.755560893498291
"ADGRA3",-1.54225823598586
"AGPAT4",-2.04371582649443
"DLG4",1.52667351159588
"SEC14L3",-4.43200836641448
"MMS19",0.576898286125179
"ACKR2",-1.96430747785344
"IGSF10",-3.81679957250353
"SBSPON",-2.36182883490004
"PAQR4",1.62859098870072
"AADACP1",-4.03118358610366
"CDA",2.04735158072417
"NRCAM",2.2766916984651
"RGS8",-5.21360965701887
"SLIT1",5.6406351132657
"CDH13",2.01104509775211
"RXRG",5.57290915632969
"TNS3",-1.45794359975301
"ADK",1.02034702674112
"RASD2",2.87101344970797
"AGRN",1.10893135736932
"MYH15",-3.35231426612773
"ANKS1B",-2.35440998802453
"MAFB",-1.8218876713315
"GGCT",1.966102542798
"DUSP4",2.43113147827865
