"gene","value"
"MYBL2",6.09757609297792
"CDC25C",5.13304109291603
"CCNB2",4.90178193758358
"PKMYT1",5.17290853980088
"AURKB",5.34335549963763
"CDC45",5.28160341799087
"ASF1B",4.39034766348458
"CDC20",5.06866974261151
"MELK",5.07533179138687
"TROAP",5.03300497401966
"HJURP",4.86052128030925
"KIF20A",4.84863025452612
"IQGAP3",4.77739356116822
"SKA3",4.2548821561466
"KIF18B",4.75979293754857
"MKI67",4.66806746723918
"SAPCD2",4.61016242308787
"UHRF1",4.81891118344668
"GTSE1",4.38782056725796
"FOXM1",4.64811999266034
"NCAPH",4.48630130596944
"ZWINT",3.81088143751366
"C16orf59",3.71333379290461
"CEP55",4.6222331587637
"TK1",3.99312389962394
"RAD54L",4.25798499060055
"UBE2C",5.1036481035916
"ZNF695",4.43491614832593
"NEK2",4.63124908665144
"TPX2",4.61398662724521
"SLITRK3",-6.90506413041089
"KIF4A",4.32055009446314
"RRM2",4.76549421962982
"PRAME",5.66224370218352
"PLK1",4.24846720741913
"SPC25",4.45391137156259
"NCAPG",4.41633982528412
"ESPL1",4.48407135452442
"BUB1B",4.40182302852788
"DLGAP5",5.15522296054523
"CENPA",4.71971903063049
"SKA1",3.81384003315753
"CDC6",3.78042176534364
"BUB1",4.40921692506986
"SPAG5",3.50054596501315
"CDCA8",3.91594329612817
"POC1A",3.39553194265656
"ASPA",-5.48066738439543
"SGOL1",4.49300526864579
"PPP1R12B",-4.16035370684303
"E2F2",4.25511100503209
"MCM10",4.82813826211766
"EXO1",4.38494789517916
"CSRP1",-2.67622382623749
"KIAA0101",4.33021804377709
"CDCA2",4.40297627073143
"CDT1",3.76814415077016
"EME1",3.50067765678737
"BIRC5",5.07286941221987
"MTFR2",4.18597842849811
"PBK",4.86972120405411
"DIXDC1",-3.01419926875605
"CBX7",-3.49524551131971
"SHCBP1",3.44491937391828
"TOP2A",4.32820136148001
"KIFC1",3.94518416900377
"HN1",2.83809853673757
"KIF14",4.34824797638898
"RCC2",1.77837580980277
"TBC1D7",2.17493006386811
"TRAF4",2.45365857487545
"UBE2T",3.30849759901353
"ECE2",2.9801876688808
"POLQ",3.93126295470614
"CDCA3",3.50790594578641
"DPP3",2.01245121461985
"CENPF",3.81099042257499
"SPARCL1",-4.49812397214669
"SLC25A10",2.86196365246428
"KIF2C",3.98685019637506
"TTK",4.31616722733034
"TACC3",3.29182179647281
"PTTG1",3.98536082849749
"FANCA",3.28035487842336
"NUSAP1",3.58675557067287
"HIST1H2AM",4.22205451353289
"EZH2",2.93211656520107
"CCNB1",3.17575381664818
"GPRASP1",-4.02431818653341
"MYLK",-4.38545684431204
"CENPM",3.68230048924027
"TUBA1C",2.54663504008386
"CKS2",2.95513333229173
"NEIL3",4.31891352374082
"KIAA1462",-3.4584824410873
"ASPM",4.439646217175
"FAM64A",4.11998572109414
"DIAPH3",4.14730998892809
"TNS1",-3.22073392770591
"RNFT2",2.97678333288909
"STAT5B",-1.83947654433771
"LMOD1",-5.4684968640408
"RAD51",3.32693969877189
"FAM83H",3.40234055166652
"RERG",-5.47741377637886
"CIT",2.68072157309243
"NUP210",2.86200618361084
"TACC1",-3.21545232794775
"OIP5",3.71665191540298
